,Faallo,Sun ah,Fuxshi,Goodis,Caay,Sinji-nacayb,Aan sun aheyn
,Maxkamada ma laba go.aan baa ka furan hal baan moodaye,0,0,0,0,0,1
,Cadaaladaa guulaysan Inslh,0,0,0,0,0,1
,Xaraan ku naaax,1,0,0,1,0,0
,Maxaa idin dhahay yuusan War idinka tagin arinkaan shacabkaaa lagu qancinayey gadaal ayeey ka noqoneeysaaa qaraaar bahasha,1,0,0,0,0,0
,Allah u akbar,0,0,0,1,0,1
,Hungurigii kuqaada kuma dhigo dheh,1,0,0,1,0,
,Wali masoo taaganyahay odagaan,1,0,0,1,0,0
,Ex television qaranka magaca halaga badala,1,0,0,1,0,0
,"CADAALAD: Xeerka cinqaabta dilka gacan kudhiiglihu, waxay xal utahay inta kunool gudaha somaliya iyo muslimiinta",0,0,0,0,0,1
,Wali masootaaganthye odagaan waa kunaxaye hadalkan,1,0,0,1,0,0
,Abuukate xalane guuleysho,0,0,0,0,0,1
,Tvga qaranka waa mid  reer ugaar ah,1,0,0,0,0,0
,Lacagtu waa aabeheed wasto wax walba waad ku hadli markii wax laguu dhiibo,1,1,0,1,0,0
,TV Qaranka asagab hawal gal iyo Toosin u bahan wa meel aan dadka ka dhaxayn,1,0,0,0,0,0
,SNTV wlhi wax badan waa idin difaace lkn maaanta ogaade in dad gaar ah lagu raali galiyo tvga idinko muuqalka xukunka soo dhigin ayaad odaygaan mirqaanka soo dhigeysaan miyaa subxanallah shame on you guys,1,0,0,1,0,0
,Meesha maxa kamada kama jirato ee ha la iska caliyo ?,1,0,0,0,0,0
,Shamuurey & Gacan ku dhiigle Siid Cali waa kala nasiib badan yihiin,1,0,0,1,0,0
,Idinka maxaa idin ka galay Marka,1,0,0,0,0,0
,Ader ninkaas na dhaafiya,1,0,0,0,0,0
,Nin Bariiska meel xun ka galay,1,0,0,0,0,0
,Racfaan qaado ama ka tag waa mid adiga kuu taalo waa leysla duugayaa taas ku bishaareyso inaad dambiile difaacdana sharcigaa kuu ogoladay,1,0,1,0,0,0
,Odaygan laftirkiisa hala xukumo,1,0,0,1,0,0
,Hadda eedeysane ma ahan waa dambiile/ xukunsane,1,0,0,0,0,0
,Xukunkiisa waa helay masha allah.,0,0,0,0,0,1
,Waana la dili doonaa insha allah.,1,0,1,0,0,0
,Maxaa loo toogan waayey marka,1,0,1,0,0,0
,Wxaad rabtiin kiina ninaks waa dilaa,1,0,1,0,0,0
,Waa odey weyn oo meelkasta ka cirobay hadana wax uu xaq u lahayn radinayo war adunka miya lashegay in uu ku warayo.,1,0,0,1,0,0
,Odaygan maxa ka waraysanaysan lacag lee ucad,1,0,0,1,0,0
,Mar hadii Tv Telefishinka Qaranka Soomaaliyeed laga baahinaayo ninka difacaaa dembiilaha xukunka la sheegaa waaa been,1,0,0,0,0,0
,Maxkamadaan qof ay xukuntay oo la toogtay lama arag wey xunkuntaa lkn lama toogto,1,0,0,0,0,0
,Nio lacagtii aad qaadatay wali makugu filnaanin mia,1,0,0,0,0,0
,Filimanta hindiga igu soo dhacay,0,0,0,0,0,0
,Odagaan baqti cunkaa ka tag dheh meesha,1,0,0,1,0,0
,Farxad ima dhino manta cadalada hashaqeso,0,0,0,0,0,0
,Been badana kan hanaso mariin,1,0,0,1,0,0
,Telefishinka Qaranka Soomaaliyeed repot dhaha telefeshin qabiil waaye nacdal haku dhacdee,1,0,0,1,0,0
,Odaygan horta gabadh ma dhalin miyaa masibada,1,0,0,1,0,0
,Wax racfaan ladhoho majiran reerka gawadha waxan dhihi lahaa ilaa ninka laga togto gawadha yaana laduugin,1,0,1,0,0,0
,Al Cadaala pgkaan Admin ka ah,0,0,0,0,0,1
,Fiircoon wllkiisa yaa warkada dhageysana,1,0,0,1,0,0
,Ninna hada ayaa ticket Aakhiro ah loo jaray ninna (Shamuurey) hadda ayuuba caan noqday oo u kala kacday! Adduunka waa sidaas,1,0,1,0,0,0
,Reerka ninka dilka lagu xukumey ayuu weli rajo ka qabaa inuu lacag kasii cuno iimaan laawahan.,1,0,0,1,0,0
,Ninka cadaalada la dagaalama waa nin Allah isku dayey inuu la dagaalo kan khayr mid leh uma eko walahi,1,0,0,1,0,0
,Lacag kle ayu rabaa inu xalaaleesto moye wu ujeeda kiiskan inu ka bad baadin karin,1,0,0,0,0,0
,Oday yahow Shaafto waa weysay,1,0,0,1,0,0
,Wajiga waa iska haleysay,1,0,1,0,0,0
,Ee school buluzia noo balan ah,1,0,1,0,0,0
,Waxaaba fulxumaa in TV qaranka in uu soo qaato nin difaacaayo ee deysanaha .dhahayana .Racfaan aan rabnaa .,1,0,0,1,0,0
,fal uu asiga gaystay ay waxaan ku dhacaan.,1,0,0,0,0,0
,wallh TV wax wey ayaa ka qaldan,1,0,0,0,0,0
,Racfaanka Rafaad ugu dhimo,1,0,0,0,0,0
,Ajuuskan maanta fashil buu dheh dabalanaya nacla dhalee,1,0,0,1,0,0
,Niyow igu faataxiyo si aan u dilo eyga dhalada weyn kkkk astaqfura allha,1,0,1,1,0,0
,Xukun racfaan ka furan yhay maxaa loo ridaaa micnaha gabadha talaagada haku sii jirto miyaaa,1,0,0,0,0,0
,Waji fircoonow adiga saa kuu nacay lee,1,0,0,1,0,0
,Malla dilaayo waaye racfaanka waa wareerin 6 bilood oo danbe ayeey dib u dhacday waa dhan tahay,1,0,0,0,0,0
,Wali Ma quusan miyaa odeygaan,1,0,0,1,0,0
,"anagoo saaran gaari Bas ah ayaa waxaa qaylisay gabar agteyda fadhiday Darawalkii ayay ka dalbatay in gaariga joojiyo, markuu joojiyay kadib ayadoo dhankeyga soo ishaareyso ayay tiri ninkaan Taleefankeyga ayuu iga xaday",1,0,0,1,0,0
,Kan keliyaa maxaad uu sooqadateen toos ayaad isuu qawisiin cida TV gacanta ku haysa hhhhh,1,0,0,0,0,0
,Alcuquuba Ex Alcadala waxaa tahay waan ognahay,1,0,1,1,0,0
,awowe iswal ama iskada wa la togana,1,0,1,0,0,0
,Insha Allah odeygaan waxaa u rajeynaa in tan ku dhacdey wlsheen luul allaha ha u naxariistee mid ka daran iney gabadhiisa ku dhacdaa bal aan aragno wajiguu ku hadlo,1,0,0,1,0,0
,"Warya illahey ka. Baq oo wax aan sura gal aheen dadka ha u sheegin ogoow Cadaalada ayaa ah waxa wadajirka dadka isku hayn karo,!",1,0,0,1,0,0
,Tuuuug an sharaf lehen ba Ku dhahaya abuukaata ahy,1,0,0,1,0,0
,War ilhy kabaq duliyahy waxa ladilay wa qof dumara o wilba xaamilo ah o dab lagu gubay,1,0,0,1,0,0
,Racfanka sheegyso haday maxkamada kula qaadato wad Ka wada simanthin dulinimada iyo jaaahilnimada aad umada somaliyed Ku hysaaana,1,0,0,1,0,0
,Eedeysane who? National tv dambiile ku qora meesha xukunka wa ba dhacay eedeysane wa ka soo gudbay SNTv ma aqoonsano maxkamada iyo xukunkeeda fadlan ilaaliya the rule of law,1,0,0,0,0,0
,Tv-Gaan saleeman miyuu u shaqeeya mise qaranka somaliya ayuu u shaqeeya waan yaabe,1,0,0,1,1,0
,Tuug tuug wax racfaan ladhaho majiraan tiirkaa noo balan ah iyo malinta sabdiga ahn,1,0,1,1,0,0
,Macmiilkaaga wuxu u socdaa meeshii loo batey,0,0,0,0,0,0
,Dil togasho aya lagu xukumay hada ku farax san thy follow ii so dheh walal walalsheen luul.cadaalad ha hesho mar walba cadaalada Allah ha sareeyso,0,0,0,0,0,1
,Wll Nagu Soo Biir Oo Followe Dhe Mahdsanid,0,0,0,0,0,0
,Abukaate xalane hasagana Dil Toogasho ah,1,0,0,1,0,0
,Halagu xukumo,1,0,1,0,0,0
,Wa mudanyahay inla togto,1,0,0,1,0,0
,Television ki la boobay miyaaa neh,1,0,0,0,0,0
,Jiis jano magalo luul iyo sxbkeyd wey isracayaan insha allh,1,0,1,1,1,0
,Allahu akbar,0,0,0,0,0,1
,Mahad sanid abuukate cali xalane,0,0,0,0,0,1
,Alacdaa wuu adkaysan waayay,1,0,0,0,0,0
,70 jir khaatumo seeg ah yaahuu,1,0,0,1,0,0
,nolal bila dhadhan ah bad rabtan in ad ku nolatiin,0,0,0,0,0,1
,Halakna ma habar gidir baa kushaqaysnysa manata,1,0,0,0,1,0
,Dulli Dulli dhalEy foolxuma wuxu,1,0,0,1,0,0
,Odaygaan yaa noo keeno wiifow ka dhigan laheyn,1,0,1,1,0,0
,Hungurigii ku qaatay kuma dhigo,1,0,0,0,0,0
,Ninkaan isna inay ree xamar guban baan umalayn,1,0,1,0,0,0
,Hooyadaa wase caqliga maangaabkaa leh adna intaa daafacdey waad ku dhiman,1,1,1,1,0,0
,Racfaan majirto,1,0,0,0,0,0
,Maxkamadu manta xakunka ay riday waa sidii laga sugaayey laakiin wixii dhacdo xun o ka dambeyay wa iney sidas o kale u xakuntaa ninki macalin ka dilay ninkii nagtisa qalay nagtii ninkeda ceejida ku dishay nagti iyo ilmahedi abahod dilay askartii wax dishay,0,0,0,0,0,1
,"Hhh racfaan iyo qaraabanimo malahan sharcigu , sharcigu wax laga talaabi karo mahin xisaabta kudarso somalida hada jirta sharciga islamka iyo qabiilka ayaaba waxa u weyn qabiilnimada laa xowla",1,0,0,0,0,0
,Moryaaan waji xun,1,0,0,1,0,0
,National TV qaraabada dambiilaha maa iskaleh se cml,1,0,0,0,0,0
,"80,000 oo doller ayaa lagaa rabaa calool weynow",1,0,1,1,0,0
,Waar odaygan hawada ha lagu cuno,1,0,1,1,0,0
,Kan ani haley guriyo casharo badan kamaqan bari lahaa,1,0,1,0,0,0
,"Macaamiisheena
caaq weeye kaas",1,0,0,1,0,0
,Fadlan odaygan sharciga abukatanimada halaga noqdo wax faida ah umada uma hayo,1,0,1,1,0,0
,Racfaan ma shaqeyn doono,1,0,1,0,0,0
,Ninkii gas intuu soo gatay xilli habeen ah oo reerkiisa la yimid. Ee guriga dab qabadsiiyey. Ee yiri anigaa sameeyey ee gacmaha ka guban. Miyaa loo doodayaa Alle ku dullee war Alle u tawbad keena,1,0,0,1,0,0
,Ader ninka salemaan waqtiga yuusan ka dhumin,1,0,0,0,1,0
,Macnaha live shalay ahaa maan daawaneenay wah Abdirizak,0,0,0,0,0,1
,Sayid Cali Macalim waxaan u rajeynaa in Asturnaan ay u noqoto Fadeexadda iyo Culaysyada uu adduunkan Daawade ka ahaan lahaa Hadii xitaa laga Bari yeeli lahaa Dambiga lagu helay.,1,0,0,0,0,0
,Buub ama boodbood c/raxmaan alcadaala kan wuu ku deyey Racfaanka Rafaad ugu dhimo bilaayo haku aragtee,1,0,1,0,0,0
,Gudomiyaha Maxkamada Salax Cali Marko hadlaye Soma dhigina Postigas waa qodob kale,0,0,0,0,0,1
,"Saleebaan Tv waa mahadsantihiin
iska buuqa wala idinka shaqeysanaaye",1,0,1,0,1,0
,War Ninkaan masoo taaganyahy weli hadii adan dadka kaxishooneyn ilaahey ka xishoo wuu kuu jeedaye,1,0,0,0,0,0
,Ladirka ultimada wala dilaaaaa asi iyo abukataah,1,0,1,0,0,0
,Lacagtaada cun iskana seexo,1,0,0,0,0,0
,Xaqay uleyihiin,0,0,0,0,0,1
,Page kan inuu TV qaran aheyn mar hore leysla arkay bal eeg,1,0,0,0,0,0
,Muuqalka dil toogashada ee garsorka G.banadir lama so gelinin page ka,1,0,0,0,0,0
,Marxumada qarenada difacayi ama waalidkeda iyago hadlayan lama so gelin weli page ka,0,0,0,0,0,1
,Garsooruhu Xukunkaas waa ku deg degay,1,0,0,0,0,0
,Dhibka jira wuxu yahay Dadku Mayaqanaan Loyer or Abukaate,1,0,0,0,0,0
,Yaan la Aflagadeyn Abukaatihii Sayid udodaayi,0,0,0,0,0,1
,Waayo sharcigaa Faraayo ,0,0,0,0,0,1
,Wax racfaan layiraa majirto wu dhacay xukunkaas tiirkanoo balan ah,1,0,1,0,0,0
,ciroolow adoo marki hore gaboobay buu kiiski arxanlaawaha ku sii fool xumeeye,1,0,0,1,0,0
,Waxa ku banan inaad edaysanaha danbigisa İsa Saarto o Aad adigu tiirka tagto Şu u Nolado Sayd Cali Abu kaate baahane Cadaladu ha shaqayso,1,0,0,1,0,0
,"War Tolkeeygoow Dhac, Dil iyo Dulmi waqtigiisa walaga soo gudbay ee maa Cadaalada qaadano. Nin si kas ah Gabar maskiin ah u gubay oo waliba ilmihiisa uurka kuwaday waxba idiin so kordhin maayo aan ka ahayn Xumaan iyo ceeeb.",1,0,0,1,0,0
,Kanina waa qowlaysatadii isbaarooyinka kusooqadhaabsanjirtay laynta iyo dhaca umada soomaaliyeed,,,,,,
,Wajigaaga naari cuntay,1,0,0,0,0,0
,Hhh tvgan local miyu isu badelay ALcadala tvga faladka ka da,1,0,0,0,0,0
,Abukaatahe shaqadada wado sayid calina cadaalada ha maro luulna cadaalad ha hesho,0,0,0,0,0,1
,Makarfonka afka ka giliya,0,0,0,0,0,1
,TV umada ka hor leexiyo waxaan idacad qaran mahine,1,0,0,1,0,0
,Saleybaaaanow ninkaan lcgtaa siiiseeen noogu sooo celiya,1,0,0,0,1,0
,Alow soomaali goormay joojinaya seefla boodka iyo reer baadiye nimada waxaaba mooda inay lafaha kaga jirto waxaan arkaya kuwo kuhaya odagaan gabar madhalin miyaa odagaan balaayuu qaba IWM...... War odagaan waa abuukaate bari aduu kuudoodaya bari dambe,1,0,0,1,0,0
,Telefishinka Qaranka Soomaaliyeed nuucaan miyaa tahay,1,0,0,0,0,0
,Xalane wux u ogyahay malahan isk daaya,1,0,0,0,0,0
,Cada qaate ilahay ku soo qabay oo calaama alaah kaa soo saar,1,0,0,1,0,0
,"Kan qareen ka ah aakhiro xisaab inay kadanabayso ma hilmaamay, cuqubo kugu dhacday",1,0,0,0,0,0
,Odaygaan inuu caruur dhalay hala so ogaado shaki baa igaga jiree,1,0,0,1,0,0
,Tv Qabiil u noqday TV gii,1,0,0,0,0,0
,Hadii la iska yelayo lee ma ahano hee,1,0,1,0,0,0
,Ar iska aamus wax hatarine,1,0,0,0,0,0
,"""Hogaamiyihi Ugu Cadaalada Badnaa Wuxuu Ahaa Nabi Mohammed NNKH"".",0,0,0,0,1,
,Sharciga habargidr Lee miyu qabtaaa,1,0,0,0,1,0
,"""Saaxiibkeed ayeey sugeysaa in lala dhigaya godka Aduun iyo aaqiro kuwii isku waara alha naga dhigo aan maqli jiray",0,0,0,0,0,1
,𝐊𝐚𝐧 𝐪𝐚𝐫𝐞𝐧𝐚 𝐦𝐚𝐡𝐚 𝐥𝐚𝐜𝐚𝐠 𝐪𝐚𝐭𝐚 𝐚𝐲𝐮𝐮 𝐚𝐡𝐚 𝐞𝐞 𝐢𝐬𝐤𝐚 𝐝𝐡𝐚𝐚𝐟𝐚,1,0,0,1,0,0
,xarami adna inlagu gubo ayad ku wanagsanid waa munaafiq,1,0,1,1,0,0
,Abukaate xalanow macmiil aan xaaskiisa gubin ma weydey,1,0,0,0,0,0
,Marka wijigaaga si fcn loo eego abuukatayaasha flimanta hindida kujiro waxba madhaantid,1,0,0,1,0,0
,Racfaan beel ruuux dhig hakaa dhahee,1,0,0,0,0,0
,Hadal Yuka tagin nin kas wa kudaye,1,0,1,0,0,0
,Cabtoy waaye,1,0,0,1,0,0
,Waa arin fican in cadaalada la helo,0,0,0,0,0,1
,"Waziir Cadaaloow gabadha Aabaheed warkiisana soo daaya ,bal isku dhiba hadaa hg tihiin",1,0,0,0,1,0
,Odaygan wali wu sotaganyhy asagana kudara hala xakumo,1,0,1,1,0,0
,Masha allah,0,0,0,0,0,1
,Abuukaate xaqqa difaacaayo,0,0,0,0,0,1
,Maxkamada waxey iska raacday baraha bulshada qeylida ka yeereyso,1,0,0,0,0,0
,Kan warkiisa xaa loo faafaa,1,0,0,0,0,0
,Rufiyanima lataagneed e hora idhaf,1,0,0,1,0,0
,Xaq ayuu u leeyahay,0,0,0,0,0,1
,Luuul ehel keyda so dhiga hee kan wan aragne maa tvga ku so qora habargidir tv,1,0,0,0,1,0
,Racfaan qaado ama maxkamada dhexdeeda ku rafo xukunka waa siduu u dhacay axmaqow,1,0,0,1,0,0
,Hadalka wa kala jarteeen kan baa soo dhigteen ilahay ba inaa xisaabtamii doona Telefishinka Qaranka Soomaaliyeed,0,0,0,0,0,1
,Himilo Somali TV,0,0,0,0,0,1
,Lacagta & waqtiga yaysan iska dhameyn reerka dambiile/arxanlaawe sayid cali ninkaas dambiga waa ku cadyahay xitaa maxkamad sarre hadee tagto waa looga adkaanaa,1,0,1,1,0,0
,Hayeelin Hayeelin,1,0,1,0,0,0
,Aaqiro racfan Malaga qaato tikid kiina waa loo jaray sorry marka,1,0,0,0,0,0
,Mid salmeen ah markow page ka admin kayahy,1,0,0,0,1,0
,Alle haku cadaaabo aduun io akhiraba abukaate dulli racfaan kulaha,1,0,0,1,0,0
,Kiiska ninkaan Hal marqaati waa loo waayay oo wax ku cadeeya maxkamada waxaa looga fadhiyay inay kiiskaan si xilkasnimo leh oo cadiifad iyo warka social media ka socda ka duwan ula falgasho kiiskaan ,0,0,0,0,0,1
,Hungurigi ku qaaday kuma dhigo ader intii horaa kugu filane ka leexo marxuumada cadaadad ilahy u soo ifiyey,1,0,0,0,0,0
,Alla jidiinka ku qabay oo nolosha kugu dhib,1,0,0,0,0,0
,Sharciga iyo cadaalada Somalia HG Lee lagu xukumaa somalida kale waxay rabaan dilaan sharcina lama horkeeno,1,0,0,0,1,0
,"Waar Illahay Ka Cabso, intaad Beeso Eegayso Dulmiga Haw Gargaarin Oo Ha Garab Siinin.",0,0,0,0,0,1
,Faalo ka baxe falastiin mar walba iyada guusha leh idamka Alle,0,0,0,0,0,1
,Haku warerin iska naso waa ladilaa dilaga,1,0,1,0,0,0
,Adduunyo waa tan!,0,0,0,0,0,1
,Abukata ma istaahillo xalane waa daalim dulle eh ee dhuuni qaata Ah kaaso kale waxey ceeb ku tahay dowlada somaliye maxkamada halaga hor leexiyo,1,0,1,1,0,0
,Abuukate xalane faraha kaqaada dad yohow wlan,1,0,0,1,0,0
,Farmajo markuu xamar yimid cadaaladdi ayaa timid mashalah,1,0,0,0,0,0
,Odaygaan warka meesha ku xir Maxkamada hal go'aan yaa ka furan waa dil toogashaa,1,0,1,1,0,0
,Ayaan Xasan,1,0,0,0,0,1
,Ooy dheh,0,0,0,0,0,1
,Dollada sharfta leh xukunkas wa dhacay,0,0,0,0,0,1
,Racfan wax ladhaho ma jiro,1,0,1,0,0,0
,Qofki naf goyo asineh tisa la gona,0,0,0,0,0,1
,Abukato wain laxira,1,0,1,0,0,0
,Tvga Beesha iyagana xukunka kuma qanacsana miyaa,1,0,0,0,0,0
,Xukun halaride malafulikara waye maxkamadu cidan maleh washabac xukun le rida wanah riday wbllh towfiq asnh sanada kabacdi xabsigow kasobaxa,0,0,0,0,0,0
,Dacay dhere warkas wu so gabogabobay,1,0,0,1,0,0
,Racfaanow xaal qaado,1,0,0,0,0,0
,Racfaanka lagu sheegayo wa un laaluush oo la qurxiyay marka haday cadaalad jirto hala dilo ninkas qabkasto ama dhankasto ayay kucadahay un u dilaayahay marka yanala lamayraysan halaysla duugo wllshey luul ba sugaysay halaysla duugo wabilah towfiq,1,0,0,0,0,0
,Waxaas waba hadi laga yelo Madax dhagaxow Tiirka udadajiya Damiir lawahaas,1,0,0,1,0,0
,Dilayow dil aku danbeyo,1,0,1,0,0,0
,Dowlada HG ayaa maamusha sharciguna HG ayuu qabanaya miyaa walee ma fahmin ani,1,0,0,0,0,0
,Oday yahow xunka ah warka hadi aad badisid ada lagugu darayaa,1,0,1,1,0,0
,oday yahow imanka alle haku so celiyo ma gardaro cadaa udoode asaa wali sii indho cadahay adiga wax kula talsho ma weysay ma dhinacaga gadahe,1,0,0,1,0,0
,Kan asigaa dil u baahnaay ileen adigaa is gubaye,1,0,1,0,0,0
,Kan wajigiisa aanba dhibsade dilka hla raaciyo asina waa nin xaqa iyo badilka inu dhaco utaagan waaye odeygaan wajigiisa lo moodo qumay god doonfaar kaso bxe,1,0,1,1,1,0
,Ninka muxu ahaa inkaar baa ku dhacday kan,1,0,0,0,0,0
,Abdulahi Macalin Jigre,0,0,0,0,0,1
,Inuu Soo Caan baxo ayuu Rabaa,1,0,0,0,0,0
,Tuug aan illhay agtiisa waxba u oolin baa tahy,1,0,0,1,0,0
,Tuug ilaah aan aqoon,1,0,0,1,0,0
,Weli edeysane miyaa mise waa Dambiile hort ileen Xukun ayaa dhacey,0,0,0,0,0,1
,"eed wa nagulu waaye iyo dil nagula xukumey
ar odeyga xaaran ku naaxsanaa",1,0,0,1,0,0
,Ani hada ahaan lahaa makaroofanka afka uga dhufun lahaa eeyga afka uraya,1,0,1,1,0,0
,Ahmet racfan Io waqti dhumis kale,1,0,0,0,0,0
,Dumarku waa sida beedka oo kle daryeel gaar ah bay mudan yihiin gabadh walba oo qoraalkayga akhrinaysa farxad baan kuu rajeenyaa,0,0,0,0,0,1
,Asna halgu daro arxan laawaha,1,0,1,0,1,0
,Adunkana silic iyo magac xumo ku joog akhirana naartaa,1,0,0,0,0,0
,Madhaweyn markii TV Qaranka lobadaley mid qabiil,1,0,0,0,0,0
,"Duqaan qarash kale uu cuno rabaa, ha u celiyo qarashka uu qaatay, haduu run sheegaayo.",1,0,0,0,0,0
,Qaa'inka!!!,1,0,0,1,0,0
,Jornatigii hore halkaas ayuu ku dhamaadey lakiin ninkaan heshiis cosob ayaa u bilodey halyaabina calooshaa furane naxariis lawaha,1,0,0,1,0,0
,"Macmiil beel ,Ninka Tiirka halageeyo Tomorrow Morning, intaanba in lasugaa maaheyn",1,0,1,0,0,0
,Dowladnimada somalia miyaa sidaan ah,1,0,0,0,0,0
,Waxaa jclaan lahaa inuu gabadhisa lagu sameeyo sida lul lagu samey markaas ayuu dariimi lahà xanuunka walidnimo,1,0,0,0,0,0
,Kali waa waraabe dadow,1,0,0,1,0,0
,Ninna hada ayaa ticket Aakhiro ah loo jaray ninna (Shamuurey) hadda ayuuba caan noqday oo u kala kacday! Adduunka waa sidaas,1,0,0,0,0,0
,Away warkii kale ee maxkamada ama tvka qarabada dambilaha leh,1,0,0,0,0,0
,Odayga As ne ha la gu daro,1,0,1,0,0,0
,Caade qaate,1,0,0,1,0,0
,Somali gormeee Abuukaate micnihiisa fahmayaan dad wxaa arkee wxan baranay dhahayo hadana ninkaan ku dhagan eber wye,1,0,0,0,0,0
,Racfaana waxba kuma keeneysaan insha allah.,1,0,1,0,0,0
,Xariif waye lacag kale ino ka cuno rabaa,1,0,0,0,0,0
,Abukaate xalanow naagti ku gubi lahad wa anig i amin  ,1,0,1,0,0,0
,Tvga hg Ku qorta,1,0,0,0,0,0
,War muxuu cabay kani siddan kuma fayoobee.,1,0,0,1,0,0
,Qofka haduu iimaanka beelo Waxba maxeeriyo,1,0,0,0,0,0
,Lacagtu dhib badanaa,0,0,0,0,0,1
,Waa su'aalee muuqaalka go'aanka maxkamada iyo muuqaalka racfaan qaadashada yaa horeeyo yaab wayy wllh.,1,0,0,0,0,0
,Cali xalane waa in la soo qarxiyo,1,0,1,0,0,0
,Gabgable musiibo alle kugu rid dhiig islaan inaad qariso baad u gab gableyneysaa,1,0,0,1,0,0
,Kan ogale aya dunka iska jogo damiir lawe o dadan kujiro layab malahan,1,0,0,1,0,0
,Oo adi maba rabtid in dambiilaha dambiga in lagu helo miyaa,1,0,0,0,0,0
,Folxumo oo ku darsaday dhaqan xumo,1,0,0,1,1,0
,Hada ayay xaqedii heshy gobadhii,0,0,0,0,0,1
,Odeygan tuug weyn waye,1,0,0,1,0,0
,Xaranta sidan u gashay,1,0,0,0,0,0
,Been badanaa kansar beerka u dhimo,1,0,0,1,0,0
,"Maxkamadda Gobolka Banaadir waan kaga mahad celinayaa go'aanka geesinimada ee ay qaadatay, laakiin dembiilahani ma mudana Rafcaan inuu qaato sababtoo ah wuxuu ka baxsaday goobtii uu dembiga ku galay, sidaa darteed waa in si deg deg ah xukunka dilka ahi loogu fuliyaa",1,0,0,0,0,0
,Odaygan shaarbaha catiirka Ah mow iska nasto,1,0,0,1,0,0
,"Duceysane Ina Dabahaye cadalada waa in ay shaqeysaa taas ogaaw mida kale diinta islamka illahey kitaab lagu kala baxo ayu ino kenay xagu naga so galay qareen xaraan miya misa, /Spread justice in society",0,0,0,0,0,1
,ilama aha in soomalia qof dumara cadalad kaheli doono,1,0,0,0,0,0
,Hafzo Mahamed Abdirahman qali odeyga iturjum muxu kawada,0,0,0,0,0,1
,Kaas waa ahaadey adeer dil waaye,1,0,1,0,0,0
,Nin ayaa hda dil togasho lagu xukumay nina Hdeer ayuuba caan Noqday (Shamuri) Aduun yaabkisa wye,1,0,0,0,0,0
,Aflershe meshan kadhamow waxracfan ladhahyo majiran,1,0,0,1,0,0
,Ani kan microphone ka madax ugu tumi lahaabo dulqaad aan hadalkiisa ku dhegeysto ma lihi,1,0,1,0,0,0
,"iimaankoo la,yahay odaygaanu",1,0,0,1,0,0
,Odeyga lacagtii laga balan qaadey wuu shaqeysan waayey wuu ku fishilmey intaaa cuntey oo lalus ah iska so celi ninkaas wa la toogana tiirka no balan ah i.a,1,0,0,0,0,0
,Telefishinka Qaranka Soomaaliyeed ma qareenka eedeeysanaha difaacayaa,0,0,1,1,0,0
,Hodman Kheyre so dhawoow Wlashey,0,0,0,0,0,1
,Racafan beel o rafad allha KU mariyo,1,0,0,0,0,0
,War waxaan meesha kaqaaaad qabyaladeystayahoow,1,0,0,1,0,0
